House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion,Age Group,Occupation Status,Disability Status,Religion Category
1,Oaktree Street,Stephanie,Reed,39,Head,Single,Female,Unemployed,Healthy,No Religion,Adult,Unemployed,Non-disabled,Non-religious
2,Oaktree Street,Barry,Rowe,26,Head,Single,Male,"Engineer, civil (consulting)",Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
3,Oaktree Street,Pauline,Parsons,22,Head,Single,Female,University Student,Healthy,No Religion,Adult,University Student,Non-disabled,Non-religious
4,Oaktree Street,Ben,Payne,22,Head,Single,Male,University Student,Healthy,No Religion,Adult,University Student,Non-disabled,Non-religious
5,Oaktree Street,Barbara,Jones,60,Head,Divorced,Female,"Surveyor, minerals",Healthy,Christian,Adult,Employed,Non-disabled,Religious
5,Oaktree Street,Mark,Jones,30,Son,Single,Male,IT trainer,Healthy,Christian,Adult,Employed,Non-disabled,Religious
6,Oaktree Street,Amelia,Richardson,29,Head,Single,Female,"Surveyor, hydrographic",Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
6,Oaktree Street,Josephine,Richardson,11,Daughter,Single,Female,Student,Healthy,No Religion,Child,Student,Non-disabled,Non-religious
7,Oaktree Street,Eric,Marshall,49,Head,Married,Male,Learning disability nurse,Healthy,Catholic,Adult,Employed,Non-disabled,Religious
7,Oaktree Street,Lydia,Marshall,47,Wife,Married,Female,Barista,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
8,Oaktree Street,Jonathan,Harrison,68,Head,Widowed,Male,Retired Economist,Healthy,No Religion,Adult,Retired,Non-disabled,Non-religious
9,Oaktree Street,Victor,Roberts,58,Head,Single,Male,"Development worker, community",Healthy,Christian,Adult,Employed,Non-disabled,Religious
10,Oaktree Street,Alexander,West,18,Head,Single,Male,Student,Healthy,No Religion,Teenager,Student,Non-disabled,Non-religious
11,Oaktree Street,Stacey,Metcalfe,53,Head,Single,Female,Unemployed,Healthy,No Religion,Adult,Unemployed,Non-disabled,Non-religious
11,Oaktree Street,Katy,Metcalfe,12,Daughter,Single,Female,Student,Healthy,No Religion,Teenager,Student,Non-disabled,Non-religious
12,Oaktree Street,Stanley,Peters,26,Head,Single,Male,Advice worker,Healthy,Christian,Adult,Employed,Non-disabled,Religious
13,Oaktree Street,Georgina,Brown,55,Head,Single,Female,"Psychologist, counselling",Healthy,Christian,Adult,Employed,Non-disabled,Religious
13,Oaktree Street,Maria,Brown,17,Daughter,Single,Female,Student,Healthy,No Religion,Teenager,Student,Non-disabled,Non-religious
13,Oaktree Street,Rosemary,Brown,16,Daughter,Single,Female,Student,Healthy,No Religion,Teenager,Student,Non-disabled,Non-religious
14,Oaktree Street,Henry,Barker,52,Head,Single,Male,"Conservator, furniture",Healthy,Christian,Adult,Employed,Non-disabled,Religious
15,Oaktree Street,Billy,Jarvis,45,Head,Divorced,Male,Bookseller,Healthy,Methodist,Adult,Employed,Non-disabled,Religious
16,Oaktree Street,Charlene,Kent-Little,69,Head,Married,Female,Retired Politician's assistant,Healthy,No Religion,Adult,Retired,Non-disabled,Non-religious
16,Oaktree Street,Julian,Kent-Little,71,Husband,Married,Male,Retired Radio producer,Healthy,No Religion,Senior,Retired,Non-disabled,Non-religious
17,Oaktree Street,Stanley,Flynn,55,Head,Married,Male,Lobbyist,Healthy,Christian,Adult,Employed,Non-disabled,Religious
17,Oaktree Street,Helen,Flynn,55,Wife,Married,Female,Cabin crew,Healthy,Christian,Adult,Employed,Non-disabled,Religious
17,Oaktree Street,Laura,Flynn,16,Daughter,Single,Female,Student,Healthy,No Religion,Teenager,Student,Non-disabled,Non-religious
18,Oaktree Street,Ruth,Allen,40,Head,Single,Female,"Psychologist, sport and exercise",Healthy,Catholic,Adult,Employed,Non-disabled,Religious
18,Oaktree Street,Iain,Burns,39,Partner,Single,Male,"Designer, blown glass/stained glass",Healthy,Catholic,Adult,Employed,Non-disabled,Religious
18,Oaktree Street,Daniel,Allen,17,Son,Single,Male,Student,Healthy,No Religion,Teenager,Student,Non-disabled,Non-religious
19,Oaktree Street,Benjamin,Smith,48,Head,Single,Male,Social worker,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
20,Oaktree Street,Carly,Bowen,65,Head,Widowed,Female,Unemployed,Healthy,No Religion,Adult,Unemployed,Non-disabled,Non-religious
21,Oaktree Street,Fiona,Dean,30,Head,Single,Female,Insurance claims handler,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
21,Oaktree Street,John,Roberts,19,Unknown,Divorced,Male,University Student,Healthy,No Religion,Adult,University Student,Non-disabled,Non-religious
22,Oaktree Street,Abdul,Carter,66,Head,Widowed,Male,Education administrator,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
23,Oaktree Street,Trevor,Brown,62,Head,Single,Male,Trade mark attorney,Healthy,Christian,Adult,Employed,Non-disabled,Religious
24,Oaktree Street,Geraldine,Johnson,35,Head,Married,Female,Retail manager,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
24,Oaktree Street,Paul,Johnson,34,Husband,Married,Male,Furniture designer,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
24,Oaktree Street,Elliott,Johnson,11,Son,Single,Male,Student,Healthy,No Religion,Child,Student,Non-disabled,Non-religious
1,Bathhouse Avenue,Diane,Jones,46,Head,Divorced,Female,Unemployed,Healthy,Catholic,Adult,Unemployed,Non-disabled,Religious
1,Bathhouse Avenue,Bradley,Holmes,6,Son,Single,Male,Student,Healthy,No Religion,Child,Student,Non-disabled,Non-religious
2,Bathhouse Avenue,Lynn,White,32,Head,Married,Female,Television floor manager,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
2,Bathhouse Avenue,Jason,White,35,Husband,Married,Male,Estate agent,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
2,Bathhouse Avenue,Shirley,White,15,Daughter,Single,Female,Student,Healthy,No Religion,Teenager,Student,Non-disabled,Non-religious
2,Bathhouse Avenue,Roger,White,13,Son,Single,Male,Student,Healthy,No Religion,Teenager,Student,Non-disabled,Non-religious
2,Bathhouse Avenue,Janice,White,11,Daughter,Single,Female,Student,Healthy,No Religion,Child,Student,Non-disabled,Non-religious
2,Bathhouse Avenue,Barry,White,8,Son,Single,Male,Student,Healthy,No Religion,Child,Student,Non-disabled,Non-religious
3,Bathhouse Avenue,Lauren,Hunt,44,Head,Married,Female,"Designer, interior/spatial",Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
3,Bathhouse Avenue,Colin,Hunt,50,Husband,Married,Male,Office manager,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
3,Bathhouse Avenue,Kathleen,Hunt,16,Daughter,Single,Female,Student,Healthy,No Religion,Teenager,Student,Non-disabled,Non-religious
3,Bathhouse Avenue,Damien,Hunt,10,Son,Single,Male,Student,Healthy,No Religion,Child,Student,Non-disabled,Non-religious
3,Bathhouse Avenue,Jennifer,Hunt,9,Daughter,Single,Female,Student,Healthy,No Religion,Child,Student,Non-disabled,Non-religious
4,Bathhouse Avenue,Jill,White,46,Head,Married,Female,"Engineer, energy",Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
4,Bathhouse Avenue,Ben,White,43,Husband,Married,Male,Chemical engineer,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
4,Bathhouse Avenue,Damien,Marshall-White,13,Son,Single,Male,Student,Healthy,No Religion,Teenager,Student,Non-disabled,Non-religious
4,Bathhouse Avenue,Lawrence,Marshall-White,8,Son,Single,Male,Student,Healthy,No Religion,Child,Student,Non-disabled,Non-religious
5,Bathhouse Avenue,Danielle,Ward,66,Head,Widowed,Female,Unemployed,Healthy,No Religion,Adult,Unemployed,Non-disabled,Non-religious
6,Bathhouse Avenue,Hazel,Hardy,28,Head,Divorced,Female,Geophysicist/field seismologist,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
6,Bathhouse Avenue,Danielle,Goodwin,19,Lodger,Single,Female,University Student,Healthy,No Religion,Adult,University Student,Non-disabled,Non-religious
6,Bathhouse Avenue,Chelsea,Hart,25,Lodger,Single,Female,Unemployed,Healthy,Catholic,Adult,Unemployed,Non-disabled,Religious
6,Bathhouse Avenue,Lynn,Hammond,25,Lodger,Single,Female,Environmental education officer,Healthy,Christian,Adult,Employed,Non-disabled,Religious
7,Bathhouse Avenue,Tracy,Green,43,Head,Widowed,Female,"Chemist, analytical",Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
7,Bathhouse Avenue,Tracey,Green,21,Daughter,Single,Female,University Student,Healthy,No Religion,Adult,University Student,Non-disabled,Non-religious
7,Bathhouse Avenue,Kate,Green,14,Daughter,Single,Female,Student,Healthy,No Religion,Teenager,Student,Non-disabled,Non-religious
8,Bathhouse Avenue,Kimberley,Webb,54,Head,Married,Female,Structural engineer,Healthy,Methodist,Adult,Employed,Non-disabled,Religious
8,Bathhouse Avenue,Elliott,Webb,56,Husband,Married,Male,Materials engineer,Healthy,Methodist,Adult,Employed,Non-disabled,Religious
8,Bathhouse Avenue,Charles,Webb,22,Son,Single,Male,University Student,Healthy,Methodist,Adult,University Student,Non-disabled,Religious
8,Bathhouse Avenue,Debra,Webb,0,Daughter,Single,Female,Child,Healthy,No Religion,Child,Child,Non-disabled,Non-religious
9,Bathhouse Avenue,Jean,Clarke,41,Head,Married,Female,"Administrator, sports",Healthy,Christian,Adult,Employed,Non-disabled,Religious
9,Bathhouse Avenue,Louis,Clarke,41,Husband,Married,Male,Chiropodist,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
9,Bathhouse Avenue,Alan,Clarke,11,Son,Single,Male,Student,Healthy,No Religion,Child,Student,Non-disabled,Non-religious
9,Bathhouse Avenue,Sharon,Clarke,10,Daughter,Single,Female,Student,Healthy,No Religion,Child,Student,Non-disabled,Non-religious
10,Bathhouse Avenue,Georgia,Swift,22,Head,Single,Female,University Student,Healthy,Muslim,Adult,University Student,Non-disabled,Religious
10,Bathhouse Avenue,Josh,Chambers,21,Partner,Single,Male,University Student,Healthy,Muslim,Adult,University Student,Non-disabled,Religious
10,Bathhouse Avenue,Garry,Swift,5,Son,Single,Male,Student,Healthy,No Religion,Child,Student,Non-disabled,Non-religious
10,Bathhouse Avenue,Eleanor,Swift,4,Daughter,Single,Female,Child,Healthy,No Religion,Child,Child,Non-disabled,Non-religious
11,Bathhouse Avenue,Amanda,Todd,44,Head,Married,Female,"Engineer, electronics",Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
11,Bathhouse Avenue,Raymond,Todd,43,Husband,Married,Male,"Programme researcher, broadcasting/film/video",Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
11,Bathhouse Avenue,Rosie,Todd,12,Daughter,Single,Female,Student,Healthy,No Religion,Teenager,Student,Non-disabled,Non-religious
11,Bathhouse Avenue,Emma,Todd,11,Daughter,Single,Female,Student,Healthy,No Religion,Child,Student,Non-disabled,Non-religious
12,Bathhouse Avenue,Alexander,McKenzie,61,Head,Single,Male,Systems analyst,Healthy,Christian,Adult,Employed,Non-disabled,Religious
13,Bathhouse Avenue,Vanessa,Dawson,39,Head,Single,Female,Sports development officer,Healthy,Christian,Adult,Employed,Non-disabled,Religious
13,Bathhouse Avenue,Dylan,Dawson,0,Son,Single,Male,Child,Healthy,No Religion,Child,Child,Non-disabled,Non-religious
13,Bathhouse Avenue,Donald,Hall,34,Lodger,Single,Male,Clinical research associate,Healthy,Catholic,Adult,Employed,Non-disabled,Religious
13,Bathhouse Avenue,Henry,Wallis,42,Visitor,Single,Male,"Education officer, museum",Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
14,Bathhouse Avenue,Melanie,Blake,43,Head,Married,Female,"Civil engineer, contracting",Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
14,Bathhouse Avenue,Richard,Blake,45,Husband,Married,Male,Unemployed,Healthy,No Religion,Adult,Unemployed,Non-disabled,Non-religious
14,Bathhouse Avenue,Gregory,Blake,18,Son,Single,Male,Student,Healthy,No Religion,Teenager,Student,Non-disabled,Non-religious
14,Bathhouse Avenue,Jayne,Hyde,16,Daughter,Single,Female,Student,Healthy,No Religion,Teenager,Student,Non-disabled,Non-religious
15,Bathhouse Avenue,Bethan,Thomas,46,Head,Widowed,Female,Unemployed,Healthy,No Religion,Adult,Unemployed,Non-disabled,Non-religious
15,Bathhouse Avenue,Patricia,Thomas,26,Daughter,Divorced,Female,"Designer, interior/spatial",Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
15,Bathhouse Avenue,Carly,Thomas,22,Daughter,Single,Female,University Student,Healthy,No Religion,Adult,University Student,Non-disabled,Non-religious
16,Bathhouse Avenue,Donna,Allen,47,Head,Married,Female,Magazine features editor,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
16,Bathhouse Avenue,Hugh,Allen,49,Husband,Married,Male,Location manager,Healthy,No Religion,Adult,Employed,Non-disabled,Non-religious
16,Bathhouse Avenue,Ashley,Allen,8,Son,Single,Male,Student,Healthy,No Religion,Child,Student,Non-disabled,Non-religious
16,Bathhouse Avenue,Lynda,Allen,7,Daughter,Single,Female,Student,Healthy,No Religion,Child,Student,Non-disabled,Non-religious
16,Bathhouse Avenue,Allan,Allen,5,Son,Single,Male,Student,Healthy,No Religion,Child,Student,Non-disabled,Non-religious
16,Bathhouse Avenue,Nicholas,Allen,2,Son,Single,Male,Child,Healthy,No Religion,Child,Child,Non-disabled,Non-religious
17,Bathhouse Avenue,Tom,Cooke,21,Head,Single,Male,University Student,Healthy,Christian,Adult,University Student,Non-disabled,Religious
17,Bathhouse Avenue,Martin,Pearson,21,Unknown,Single,Male,University Student,Healthy,No Religion,Adult,University Student,Non-disabled,Non-religious
17,Bathhouse Avenue,Geoffrey,Knight,21,Unknown,Single,Male,University Student,Healthy,Catholic,Adult,University Student,Non-disabled,Religious
17,Bathhouse Avenue,Marion,Macdonald,22,Unknown,Single,Female,University Student,Healthy,Christian,Adult,University Student,Non-disabled,Religious
18,Bathhouse Avenue,Gillian,Thorpe,21,Head,Single,Female,University Student,Healthy,No Religion,Adult,University Student,Non-disabled,Non-religious
18,Bathhouse Avenue,Jason,Jones,21,Unknown,Single,Male,University Student,Healthy,Methodist,Adult,University Student,Non-disabled,Religious
18,Bathhouse Avenue,Bernard,Taylor,19,Unknown,Single,Male,University Student,Healthy,Catholic,Adult,University Student,Non-disabled,Religious
18,Bathhouse Avenue,Jonathan,Barnes,20,Unknown,Single,Male,University Student,Healthy,Catholic,Adult,University Student,Non-disabled,Religious
19,Bathhouse Avenue,Sara,Pollard,29,Head,Single,Female,Human resources officer,Healthy,Methodist,Adult,Employed,Non-disabled,Religious
1,Barrett Walk,Sheila,Rose,35,Head,Married,Female,"Administrator, Civil Service",Healthy,Christian,Adult,Employed,Non-disabled,Religious
1,Barrett Walk,Alexander,Rose,38,Husband,Married,Male,"Therapist, horticultural",Healthy,Christian,Adult,Employed,Non-disabled,Religious
1,Barrett Walk,Naomi,Rose,6,Daughter,Single,Female,Student,Healthy,No Religion,Child,Student,Non-disabled,Non-religious
1,Barrett Walk,Samantha,Rose,2,Daughter,Single,Female,Child,Healthy,No Religion,Child,Child,Non-disabled,Non-religious
2,Barrett Walk,Emma,Morton,38,Head,Single,Female,"Loss adjuster, chartered",Healthy,Methodist,Adult,Employed,Non-disabled,Religious
2,Barrett Walk,Rosemary,Morton,8,Daughter,Single,Female,Student,Healthy,No Religion,Child,Student,Non-disabled,Non-religious
3,Barrett Walk,Linda,Watson,48,Head,Single,Female,Unemployed,Healthy,No Religion,Adult,Unemployed,Non-disabled,Non-religious
3,Barrett Walk,Matthew,Reid,47,Partner,Single,Male,Restaurant manager,Healthy,Catholic,Adult,Employed,Non-disabled,Religious
